site,taxon,class,n
28,ORBI,>4cm,0
28,PAME,<4cm,0
28,PAME,>4cm,0
28,PORI,<4cm,5
28,PORI,>4cm,9
28,SCOL,>4cm,0
28,SIDE,<4cm,38
28,SIDE,>4cm,3
28,SINT,<4cm,10
28,SINT,>4cm,10
28,SOLE,<4cm,0
28,SOLE,>4cm,0
29,ACER,<4cm,0
29,ACER,>4cm,0
29,AGAR,<4cm,0
29,AGAR,>4cm,0
29,DSTO,>4cm,0
29,EFAS,>4cm,0
29,FAVI,<4cm,0
29,FAVI,>4cm,0
29,FFRA,>4cm,0
29,MADR,<4cm,0
29,MADR,>4cm,1
29,MANG,>4cm,0
29,MCAV,<4cm,1
29,MCAV,>4cm,0
29,MEAN,<4cm,1
29,MMEA,>4cm,0
29,MUSS,<4cm,0
29,MYCE,>4cm,0
29,OCUL,<4cm,0
29,OCUL,>4cm,0
29,ORBI,<4cm,0
29,ORBI,>4cm,0
29,PAME,<4cm,0
29,PAME,>4cm,0
29,PORI,<4cm,0
29,PORI,>4cm,0
29,SCOL,>4cm,0
29,SIDE,<4cm,10
29,SIDE,>4cm,1
29,SINT,<4cm,1
29,SINT,>4cm,7
29,SOLE,<4cm,0
29,SOLE,>4cm,0
30,ACER,<4cm,0
30,ACER,>4cm,0
30,AGAR,<4cm,0
30,AGAR,>4cm,1
30,DSTO,>4cm,0
30,EFAS,>4cm,0
30,FAVI,<4cm,1
30,FAVI,>4cm,0
30,FFRA,>4cm,0
30,MADR,<4cm,0
30,MADR,>4cm,0
30,MANG,>4cm,0
30,MCAV,<4cm,4
30,MCAV,>4cm,3
30,MEAN,<4cm,0
30,MMEA,>4cm,0
30,MUSS,<4cm,0
30,MYCE,>4cm,0
30,OCUL,<4cm,0
30,OCUL,>4cm,0
30,ORBI,<4cm,0
30,ORBI,>4cm,0
30,PAME,<4cm,0
30,PAME,>4cm,0
30,PORI,<4cm,0
30,PORI,>4cm,2
30,SCOL,>4cm,0
30,SIDE,<4cm,6
30,SIDE,>4cm,6
30,SINT,<4cm,6
30,SINT,>4cm,10
30,SOLE,<4cm,0
30,SOLE,>4cm,0
31,ACER,<4cm,0
31,ACER,>4cm,1
31,AGAR,<4cm,0
31,AGAR,>4cm,0
31,DSTO,>4cm,1
31,EFAS,>4cm,0
31,FAVI,<4cm,0
31,FAVI,>4cm,0
31,FFRA,>4cm,0
31,MADR,<4cm,0
31,MADR,>4cm,0
31,MANG,>4cm,0
31,MCAV,<4cm,1
31,MCAV,>4cm,2
31,MEAN,<4cm,2
31,MMEA,>4cm,0
31,MUSS,<4cm,0
31,MYCE,>4cm,0
31,OCUL,<4cm,0
31,OCUL,>4cm,0
31,ORBI,<4cm,0
31,ORBI,>4cm,0
31,PAME,<4cm,1
31,PAME,>4cm,0
31,PORI,<4cm,5
31,PORI,>4cm,11
31,SCOL,>4cm,0
31,SIDE,<4cm,119
31,SIDE,>4cm,22
